iter	Logloss
0	0.6421173943
1	0.5967229123
2	0.557563981
3	0.5293579038
4	0.5045125622
5	0.4852227656
6	0.4696872118
7	0.4547864215
8	0.4436317698
9	0.4332187886
10	0.425052948
11	0.4173893505
12	0.4105311351
13	0.4031547525
14	0.3965935707
15	0.3907173898
16	0.3866410658
17	0.3826025963
18	0.3787238736
19	0.3737830861
20	0.3686618805
21	0.3646932136
22	0.361805422
23	0.3587098249
24	0.3557834074
25	0.3531008212
26	0.3499308862
27	0.3466358736
28	0.344473273
29	0.3424427774
30	0.3399938901
31	0.3376218393
32	0.3355742751
33	0.3336966176
34	0.3320769352
35	0.3297733921
36	0.3278150919
37	0.3258697997
38	0.3244434717
39	0.3228755188
40	0.3211766307
41	0.3198043421
42	0.3184683885
43	0.3170588536
44	0.3155700472
45	0.3146384896
46	0.3131048754
47	0.3109955745
48	0.3095491028
49	0.3075195779
50	0.3051203092
51	0.3034051577
52	0.3021142726
53	0.3004104212
54	0.2990971099
55	0.2977641148
56	0.2961250644
57	0.2949892998
58	0.2937680096
59	0.2925590197
60	0.2912424035
61	0.2897440253
62	0.2878643492
63	0.2865925259
64	0.2853304768
65	0.2848437405
66	0.2836784214
67	0.2826059469
68	0.2814840465
69	0.2796101634
70	0.2786506801
71	0.2773156643
72	0.2760198805
73	0.2751972707
74	0.2742719354
75	0.2731726519
76	0.2722566456
77	0.2711278682
78	0.2698341518
79	0.2683589543
80	0.2672632175
81	0.2662389024
82	0.2650283633
83	0.2638935375
84	0.2625219377
85	0.2614686288
86	0.2601223702
87	0.2586893813
88	0.2574305322
89	0.2560854234
90	0.2548264111
91	0.2537061956
92	0.252584024
93	0.2516667101
94	0.250436822
95	0.2494011264
96	0.248048065
97	0.2468682141
98	0.2460625871
99	0.2450940895
100	0.2441642581
101	0.2433627319
102	0.242346717
103	0.2414787144
104	0.2403611459
105	0.2392308394
106	0.2382720174
107	0.2370147959
108	0.2360052331
109	0.2347941462
110	0.2337570265
111	0.2326410823
112	0.2314939849
113	0.230644154
114	0.2294546858
115	0.2286965752
116	0.2277520021
117	0.2268944603
118	0.2254896164
119	0.2245573107
120	0.2234647677
121	0.2224429417
122	0.2213519139
123	0.2199737803
124	0.2189326308
125	0.2180578836
126	0.2169642258
127	0.2158922174
128	0.2151750501
129	0.2137007003
130	0.212680147
131	0.2116014364
132	0.2109079668
133	0.2101303132
134	0.2088858329
135	0.2078765498
136	0.207347037
137	0.2061119811
138	0.2052420425
139	0.2041309177
140	0.2030600569
141	0.2021821202
142	0.2014997503
143	0.2003712389
144	0.1993923378
145	0.1988053608
146	0.1981488016
147	0.1970592478
148	0.1962006145
149	0.1957969814
150	0.1950128746
151	0.1941122988
152	0.193142164
153	0.1923548285
154	0.1915909237
155	0.1911677
156	0.1901103369
157	0.1892714818
158	0.188576622
159	0.1877224032
160	0.1868626552
161	0.186403017
162	0.1857584911
163	0.1849463505
164	0.1842266221
165	0.1836032984
166	0.1828494771
167	0.1819035117
168	0.1812430371
169	0.1804182053
170	0.1798496119
171	0.1789756468
172	0.178341038
173	0.1779273118
174	0.1771284877
175	0.1763534323
176	0.1757892778
177	0.1751003816
178	0.1744360532
179	0.1737771871
180	0.1732487541
181	0.1723954932
182	0.1717981784
183	0.1710746744
184	0.1704938687
185	0.1700578584
186	0.1694139099
187	0.1686593077
188	0.1681335735
189	0.1672612127
190	0.1664112462
191	0.1657556332
192	0.1650968181
193	0.1642427762
194	0.1637298287
195	0.1629982768
196	0.1623427423
197	0.161842307
198	0.1611438211
199	0.1604638174
200	0.1599388938
201	0.1594908312
202	0.1588936816
203	0.1582398203
204	0.1577301142
205	0.1574181186
206	0.1566204654
207	0.1561270067
208	0.155515141
209	0.1548861684
210	0.1543713495
211	0.153923644
212	0.1534753005
213	0.1528847885
214	0.1522134018
215	0.1516030343
216	0.1511530484
217	0.1505187946
218	0.1500574186
219	0.1493790807
220	0.1488994238
221	0.148395213
222	0.1479500707
223	0.1472833676
224	0.1470045429
225	0.1461644353
226	0.145680826
227	0.1453023222
228	0.144722058
229	0.1440815131
230	0.1434594038
231	0.1428302044
232	0.1423520947
233	0.1418434027
234	0.1412222672
235	0.1407030217
236	0.1402154324
237	0.1396298318
238	0.1392333184
239	0.1389906708
240	0.1384847959
241	0.1379552105
242	0.1375353628
243	0.137127019
244	0.1367239316
245	0.1362807926
246	0.1358909141
247	0.1355360391
248	0.1351100387
249	0.134865284
250	0.1342248143
251	0.1336895874
252	0.1333432293
253	0.1328352912
254	0.1323605251
255	0.1319125923
256	0.1315943882
257	0.1312833304
258	0.1308961407
259	0.1304343488
260	0.1299746058
261	0.1295404228
262	0.1291058016
263	0.1285896444
264	0.1279993751
265	0.1276382695
266	0.1272324117
267	0.1266248666
268	0.126252727
269	0.125774249
270	0.1253947963
271	0.1250548659
272	0.1246453079
273	0.1243000915
274	0.1238038217
275	0.1233694935
276	0.1228833151
277	0.1223929787
278	0.1218638314
279	0.1214533424
280	0.1209832366
281	0.1205797084
282	0.120292663
283	0.1200462559
284	0.1196610785
285	0.1192507686
286	0.1189064524
287	0.1185403861
288	0.1182103305
289	0.1179000722
290	0.1176739968
291	0.1173426268
292	0.1168476015
293	0.1166562515
294	0.1162527413
295	0.1159631628
296	0.1157782798
297	0.1153869703
298	0.1149622292
299	0.1144779343
