iter	Passed	Remaining
0	102	30732
1	115	17200
2	124	12342
3	131	9757
4	138	8195
5	144	7093
6	150	6306
7	157	5737
8	163	5292
9	170	4950
10	177	4651
11	184	4420
12	191	4227
13	198	4059
14	205	3911
15	212	3775
16	221	3687
17	228	3581
18	236	3490
19	244	3416
20	251	3344
21	258	3269
22	265	3200
23	272	3135
24	279	3079
25	287	3028
26	294	2977
27	302	2937
28	309	2893
29	316	2849
30	325	2822
31	333	2789
32	340	2758
33	348	2723
34	355	2695
35	363	2662
36	371	2638
37	378	2608
38	386	2583
39	393	2554
40	400	2530
41	408	2507
42	416	2489
43	423	2466
44	431	2445
45	439	2429
46	448	2412
47	456	2398
48	465	2383
49	473	2366
50	480	2347
51	489	2334
52	498	2322
53	505	2304
54	514	2292
55	524	2283
56	532	2271
57	540	2255
58	548	2241
59	556	2227
60	565	2216
61	573	2202
62	582	2189
63	589	2174
64	598	2163
65	605	2147
66	612	2131
67	620	2116
68	628	2103
69	635	2088
70	642	2073
71	650	2058
72	657	2045
73	665	2032
74	671	2015
75	679	2003
76	687	1991
77	697	1986
78	705	1972
79	711	1957
80	719	1944
81	727	1933
82	734	1919
83	742	1909
84	750	1897
85	758	1886
86	765	1874
87	774	1865
88	781	1852
89	789	1841
90	796	1829
91	803	1817
92	811	1806
93	818	1794
94	825	1782
95	833	1770
96	841	1761
97	848	1748
98	856	1739
99	864	1728
100	871	1716
101	879	1706
102	886	1696
103	894	1685
104	902	1676
105	910	1665
106	917	1655
107	926	1647
108	936	1640
109	945	1632
110	954	1625
111	962	1615
112	970	1606
113	977	1595
114	986	1586
115	993	1575
116	999	1563
117	1006	1553
118	1014	1543
119	1021	1532
120	1028	1521
121	1035	1510
122	1042	1499
123	1050	1491
124	1058	1481
125	1066	1473
126	1074	1464
127	1083	1455
128	1093	1449
129	1100	1438
130	1107	1428
131	1115	1419
132	1123	1411
133	1132	1402
134	1139	1392
135	1148	1384
136	1156	1375
137	1163	1366
138	1171	1356
139	1180	1348
140	1187	1339
141	1195	1329
142	1203	1321
143	1210	1311
144	1217	1301
145	1225	1292
146	1232	1283
147	1239	1273
148	1247	1264
149	1254	1254
150	1262	1245
151	1268	1235
152	1276	1225
153	1283	1217
154	1290	1207
155	1298	1198
156	1305	1188
157	1312	1179
158	1318	1169
159	1326	1160
160	1333	1151
161	1341	1142
162	1348	1133
163	1355	1123
164	1364	1116
165	1372	1108
166	1381	1100
167	1390	1092
168	1398	1084
169	1406	1075
170	1414	1066
171	1421	1057
172	1427	1048
173	1434	1038
174	1441	1029
175	1448	1020
176	1456	1012
177	1463	1003
178	1470	994
179	1477	985
180	1484	976
181	1492	967
182	1500	959
183	1507	950
184	1515	942
185	1524	934
186	1532	925
187	1540	917
188	1548	909
189	1556	901
190	1564	892
191	1572	884
192	1580	876
193	1588	868
194	1596	859
195	1603	850
196	1611	842
197	1620	834
198	1628	826
199	1637	818
200	1646	811
201	1656	803
202	1665	795
203	1674	787
204	1681	779
205	1691	771
206	1700	764
207	1709	755
208	1717	748
209	1726	740
210	1737	732
211	1744	724
212	1752	715
213	1760	707
214	1768	699
215	1776	690
216	1783	682
217	1791	673
218	1798	665
219	1806	656
220	1813	648
221	1821	640
222	1830	631
223	1839	624
224	1847	615
225	1856	607
226	1865	599
227	1872	591
228	1880	583
229	1889	574
230	1897	566
231	1904	558
232	1913	550
233	1920	541
234	1928	533
235	1936	525
236	1946	517
237	1954	509
238	1963	501
239	1971	492
240	1980	484
241	1987	476
242	1994	467
243	2002	459
244	2011	451
245	2019	443
246	2029	435
247	2036	426
248	2044	418
249	2052	410
250	2060	402
251	2068	393
252	2076	385
253	2084	377
254	2092	369
255	2102	361
256	2111	353
257	2120	345
258	2127	336
259	2135	328
260	2144	320
261	2153	312
262	2161	304
263	2169	295
264	2177	287
265	2185	279
266	2194	271
267	2202	262
268	2210	254
269	2217	246
270	2225	238
271	2233	229
272	2240	221
273	2248	213
274	2255	205
275	2263	196
276	2271	188
277	2278	180
278	2287	172
279	2294	163
280	2301	155
281	2309	147
282	2316	139
283	2324	130
284	2331	122
285	2340	114
286	2347	106
287	2355	98
288	2363	89
289	2371	81
290	2379	73
291	2388	65
292	2397	57
293	2408	49
294	2416	40
295	2425	32
296	2435	24
297	2443	16
298	2451	8
299	2459	0
